title,subtitle,author,synopsis,title_type,mission
Buddha’s Brain,"The Practical Neuroscience of Happiness, Love & Wisdom",Rick Hanson,"Rick Hanson is a neuropsychologist and meditation teacher and this book delivers on its sub-title, delivering a practical look at the neuroscience of happiness, love and wisdom. It’s packed with Big Ideas on the science of how our brains work and he shares a broad range of various practices and guided meditations to help us re-wire our brains. Good stuff.",PhilosophersNotes,Meditation
"Stress Less, Accomplish More",Meditation for Extraordinary Performance,Emily Fletcher,"Emily Fletcher used to be a Broadway performer. She was living the dream life. And... When she was 27, her hair was graying, she was always stressed and had chronic insomnia. One of her fellow Broadway performers was always super calm and confident. Emily asked her how she did it. The woman told her that she meditated. Emily rolled her eyes. Then she decided to give meditation a try. After ONE day of meditation, her insomnia was gone. She was hooked. Soon after, she quit Broadway, traveled to India to study more deeply then became a meditation teacher and created something called the “Ziva Technique” which she’s taught to thousands of people. In this book, Emily walks us through the science of WHY meditation is so powerful and then introduces us to the “3 M’s” of her Z Technique: Mindfulness, Meditation and Manifesting. Big Ideas we explore include the science of WHY meditation rocks and a quick exploration of those 3 M's to help us stress less and accomplish more!",PhilosophersNotes,Meditation
The Sleep Revolution,"Transforming Your Life, One Night at a Time",Arianna Huffington,"Arianna Huffington (CEO of Thrive and co-founder + editor in chief of The Huffington Post) went from being a sleep-deprived executive to a sleep evangelist after passing out and banging her head following years of a grueling work! In this book, she brilliantly walks us through the crisis we’re facing, the history of sleep, the science of sleep and, most importantly, what we can do to Optimize our sleep. I highly recommend it. Big Ideas we explore include the fact that sleep is the #1 most underrated health habit, how to master sleeping well, the #1 tip (and #2-4), how much sleep the wealthiest human on the planet gets (hint: target: 8!), how athletes train their sleep (guess what time Tom Brady goes to sleep!), and why you should set a WORK-DOWN alarm so you don't need a WAKE-UP alarm.",PhilosophersNotes,Meditation
Stillness Is the Key,,Ryan Holiday,"This is our fourth Note on one of Ryan Holiday’s books. Ryan is one of my absolute favorite writers. One of the testimonials in the front of the book perfectly captures my sentiment. Screenwriter and director Brian Koppelman (Rounders, Ocean’s Thirteen and Billions) puts it this way: “I don’t have many rules in life, but one I never break is: If Ryan Holiday writes a book, I read it as soon as I can get my hands on it.” (btw: Cal Newport’s the first testimonial. He says: “Some authors give advice. Ryan Holiday distills wisdom. This book is a must read.”) Penguin Random House sent me an advance copy of this book. As I knew it would be: It’s fantastic. Of course, the book’s packed with Big Ideas and I’m excited to share some of my favorites so let’s jump straight in!",PhilosophersNotes,Meditation
Passage Meditation,Bringing the Deep Wisdom of the Heart into Daily Life,Eknath Easwaran,"This book could have been called “The Eight-Point Program for Daily Living” as Eknath Easwaran walks us through not just his approach to “passage meditation” but also the other key tenets of spiritual living. Big Ideas we explore include deciding whether you *really* want to get over your problems, how to tame your mind (and why it’s like an elephant’s unruly trunk!), making your mind one-pointed, swimming upstream and doing the work (vs. just attending lectures).",PhilosophersNotes,Meditation
Silence,The Power of Quiet in a World Full of Noise,Thich Nhat Hanh,"Thich Nhat Hanh is a Vietnamese Buddhist Zen master and one of the world's leading spiritual teachers. In this great book he teaches us how to access the power of quiet in a noisy world. Big Ideas include bringing awareness to the ""Four Nutriments"" we consume, tuning in to the right radio station in our minds and creating an island of self.",PhilosophersNotes,Meditation
The Power of Now,A Guide to Spiritual Enlightenment,,"This is Eckhart Tolle's first uber-best-selling classic where we learn how to watch the thinker, reconnect with Divine Intelligence, accept whatever's happening to us as if we had chosen it (that's a *really* Big Idea), clock time vs. psychological time (a lot of peeps think that just b/c you’re in the Now you can't set goals… not so much… we'll look at what Eckhart's really teaching on this), and the importance of taking responsibility in our lives.",PhilosophersNotes,Meditation
Mindfulness,25th Anniversary Edition,,"Ellen Langer is one of the world's leading researchers studying the science of well-being. This book was was published over 25 years ago—before the concept of “mindfulness” went mainstream. Ellen takes a Western scientific orientation to mindfulness (vis-a-vis an Eastern mystical) as she challenges us to overcome our mindless patterns, let go of false limits, focus on the process and notice all the wonders present in our lives.",PhilosophersNotes,Meditation
Everyday Zen,Love and Work,Charlotte Joko Beck,"Charlotte Joko Beck was the founder and former head teacher at the Zen Center in San Diego. I bought this book 10 years ago but it wasn’t until Eleanor recently pulled it off the shelf and dropped it on the ground that I picked it up and read it. (Very Zen, eh? lol) The book is a collection of edited talks Joko gave at her Zen center. It was published in 1989 when she was 82. (She passed away at 94 in 2011.) Fun fact: Joko started practicing Zen at 48. She went on to become an influential figure in the American Zen movement, founding her own approach called Ordinary Mind. So… If you feel a little “behind” in any aspect of your life, take heart! :) The book is packed with Big Ideas and I’m excited to share a few of my favorites with some practical wisdom we can apply to our lives TODAY.",PhilosophersNotes,Meditation
Success Through Stillness,Meditation Made Simple,,"Russell Simmons is often called the godfather of hip-hop. He’s a fascinating guy and entrepreneur. This book is a quick, straight-to-the-point guide to meditation written in a style that makes you feel like you’re having a chat with Russell. Super simple, fun, practical. Big Ideas we explore include: how to deal with the #1 excuse for not meditating, and the #2 excuses + how meditation benefits your focus + creativity and how make your amygdala quit acting like an annoying car alarm.",PhilosophersNotes,Meditation
Brain Power,Improve Your Mind as You Age,Michael Gelb & Kelly Howell,"Want to learn how to improve your mind as you age? You can and this book by Michael Gelb (author of one of my favorite books: How to Think Like Leonardo da Vinci) and Kelly Howell (creator of Brain Sync’s Destiny meditation which I’ve used hundreds of times!) tells us how. In the Note, we’ll take a peek at their eight ways to boost brain power--ranging from optimism, learning and nutrition to exercise, love and rest! Powerful stuff.",PhilosophersNotes,Meditation
Mindfulness,An Eight-Week Plan for Finding Peace in a Frantic World,Mark Williams,"Mark Williams is one of the world's leading authorities on applying mindfulness to cognitive therapy. In this great book, he teams up with Danny Penman to help us find peace in a frantic world. In the Note, we explore the what and why and how of cultivating our mindfulness. And, bonus, we get our raisin mind rockin'!",PhilosophersNotes,Meditation
The Undefeated Mind,On the Science of Constructing an Indestructible Self,"Alex Lickerman, M.D.","How'd you like to have an undefeated mind while constructing an indestructible self? (I'll take 'em!) Alex Lickerman, MD shows us how--blending Western science with practical Eastern mysticism in this powerful book. In the Note, we'll explore how to find your mission and turn poison into medicine.",PhilosophersNotes,Meditation
